จบจากโรงเรียน,Central,East,North,Northeast,South,western
ทีปราษฎร์พิทยา,0,0,0,0,1,0
ทีปังกรวิทยาพัฒน์(ทวีวัฒนา)ในพระราชูปถัมภ์ฯ,1,0,0,0,0,0
ทีปังกรวิทยาพัฒน์(มัธยมวัดหัตถสารเกษตร)ในพระราชูปถัมภ์ฯ,1,0,0,0,0,0
ทีปังกรวิทยาพัฒน์(วัดน้อยใน)ในพระราชูปถัมภ์ฯ,1,0,0,0,0,0
ทุ่งทรายวิทยา,1,0,0,0,0,0
ทุ่งยาวผดุงศิษย์,0,0,0,0,1,0
ทุ่งสง,0,0,0,0,1,0
ทุ่งหว้าวรวิทย์,0,0,0,0,1,0
ทุ่งไชยพิทยารัชมังคลาภิเษก,0,0,0,1,0,0
ท่าข้ามวิทยา,0,0,0,0,1,0
ท่าตะโกพิทยาคม,1,0,0,0,0,0
ท่าตูมประชาเสริมวิทย์,0,0,0,1,0,0
ท่าทองพิทยาคม,1,0,0,0,0,0
ท่านครญาณวโรภาสอุทิศ,0,0,0,0,1,0
ท่าบ่อ,0,0,0,1,0,0
ท่ามะกาวิทยาคม,0,0,0,0,0,1
ท่าม่วงราษฎร์บำรุง,0,0,0,0,0,1
ท่าวังผาพิทยาคม,0,0,1,0,0,0
ท่าศาลาประสิทธิ์ศึกษา,0,0,0,0,1,0
ท่าเกษมพิทยา,0,1,0,0,0,0
ท่าแซะรัชดาภิเษก,0,0,0,0,1,0
ท้ายหาด,1,0,0,0,0,0
ท้ายเหมืองวิทยา,0,0,0,0,1,0
ธงชัยวิทยา,0,0,0,0,0,1
ธนบุรีวรเทพีพลารักษ์,1,0,0,0,0,0
ธรรมศาสตร์คลองหลวงวิทยาคม,1,0,0,0,0,0
ธรรมโชติศึกษาลัย,1,0,0,0,0,0
ธาตุนารายณ์วิทยา,0,0,0,1,0,0
ธาตุพนม,0,0,0,1,0,0
นครขอนแก่น,0,0,0,1,0,0
นครชุมพิทยารัชมังคลาภิเษก,1,0,0,0,0,0
นครนายกวิทยาคม,1,0,0,0,0,0
นครพนมวิทยาคม,0,0,0,1,0,0
นครสวรรค์,1,0,0,0,0,0
นครไตรตรึงษ์,1,0,0,0,0,0
นนทบุรีพิทยาคม,1,0,0,0,0,0
นนทรีวิทยา,1,0,0,0,0,0
นราธิวาส,0,0,0,0,1,0
นราสิกขาลัย,0,0,0,0,1,0
นวมราชานุสรณ์,1,0,0,0,0,0
นวมินทราชินูทิศบดินทรเดชา,1,0,0,0,0,0
นวมินทราชินูทิศสตรีวิทยาพุทธมณฑล,1,0,0,0,0,0
นวมินทราชินูทิศสตรีวิทยา๒,1,0,0,0,0,0
นวมินทราชินูทิศหอวังนนทบุรี,1,0,0,0,0,0
นวมินทราชินูทิศเตรียมอุดมศึกษาน้อมเกล้า,1,0,0,0,0,0
นวมินทราชินูทิศเตรียมอุดมศึกษาพัฒนาการ,1,0,0,0,0,0
นวมินทราชินูทิศเบญจมราชาลัย,1,0,0,0,0,0
นวมินทราชูทิศกรุงเทพมหานคร,1,0,0,0,0,0
นวมินทราชูทิศทักษิณ,0,0,0,0,1,0
นวมินทราชูทิศพายัพ,0,0,1,0,0,0
นวมินทราชูทิศมัชฌิม,1,0,0,0,0,0
นวมินทราชูทิศอีสาน,0,0,0,1,0,0
นางรอง,0,0,0,1,0,0
นาจะหลวย,0,0,0,1,0,0
นาดูนประชาสรรพ์,0,0,0,1,0,0
นาทวีวิทยาคม,0,0,0,0,1,0
นาบอน,0,0,0,0,1,0
นายายอามพิทยาคม,0,1,0,0,0,0
นารีนุกูล,0,0,0,1,0,0
นารีรัตน์จังหวัดแพร่,0,0,1,0,0,0
นาเชือกพิทยาสรรค์,0,0,0,1,0,0
นาโพธิ์พิทยาคม,0,0,0,1,0,0
นิคมน้ำอูนเจริญวิทยา,0,0,0,1,0,0
นิยมศิลป์อนุสรณ์,1,0,0,0,0,0
น้ำปาดชนูปถัมภ์,0,0,1,0,0,0
น้ำพองศึกษา,0,0,0,1,0,0
น้ำเกลี้ยงวิทยา,0,0,0,1,0,0
น้ำโสมพิทยาคม,0,0,0,1,0,0
บดินทรเดชา(สิงห์สิงหเสนี),1,0,0,0,0,0
