จบจากโรงเรียน,No_computer,working,not_working,no_boy,no_girl,total_student,no_classroom,total_teacher,total_teacher_rank1,total_teacher_rank2,total_teacher_rank3,total_teacher_rank4,total_teacher_rank5
บางจานวิทยา,39,16,20,65,48,113,12,10,1,9,0,0,0
วัดจันทราวาส(ศุขประสารราษฎร์),,,,65,48,113,12,10,1,9,0,0,0
คงคาราม,262,251,11,987,1173,2160,54,98,36,22,40,0,0
ดอนยางวิทยา,25,25,0,39,45,84,9,10,5,2,3,0,0
โยธินบูรณะเพชรบุรี,130,85,20,153,144,297,15,10,6,1,3,0,0
เขาย้อยวิทยา,177,162,15,407,377,784,34,37,8,17,12,0,0
หนองหญ้าปล้องวิทยา,108,65,43,257,310,567,17,29,7,13,9,0,0
วชิรธรรมโศภิต,17,17,0,127,83,210,12,13,2,2,9,0,0
บางตะบูนวิทยา,23,23,0,25,27,52,6,8,3,1,4,0,0
บ้านแหลมวิทยา,120,100,20,274,275,549,18,21,8,7,6,0,0
โตนดหลวงวิทยา,48,48,0,163,133,296,12,13,2,6,5,0,0
ห้วยทรายประชาสรรค์,52,40,12,145,136,281,10,13,5,2,6,0,0
วิทยาศาสตร์จุฬาภรณราชวิทยาลัยเพชรบุรี,190,148,32,304,415,719,30,47,30,9,8,0,0
ชะอำคุณหญิงเนื่องบุรี,139,139,0,443,490,933,30,44,12,19,13,0,0
หนองจอกวิทยา,43,21,22,87,83,170,9,11,4,3,4,0,0
หนองชุมแสงวิทยา,76,67,8,196,186,382,19,34,4,6,24,0,0
ท่ายางวิทยา,212,212,0,386,392,778,24,30,8,10,12,0,0
บ้านลาดวิทยา,,,,386,392,778,24,30,8,10,12,0,0
แก่งกระจานวิทยา,105,105,75,295,352,647,21,23,4,9,10,0,0
ป่าเด็งวิทยา,34,34,0,309,370,679,17,14,10,2,2,0,0
ประจวบวิทยาลัย,225,213,12,1066,1341,2407,68,99,33,40,25,1,0
อ่าวน้อยวิทยานิคม,27,22,5,146,169,315,12,15,7,6,2,0,0
หว้ากอวิทยาลัย,28,28,0,34,20,54,6,2,0,1,1,0,0
ทับสะแกวิทยา,76,38,38,282,353,635,24,27,13,10,4,0,0
ห้วยยางวิทยา,60,49,11,69,95,164,6,9,3,4,2,0,0
บางสะพานวิทยา,159,159,0,953,1327,2280,60,50,25,16,9,0,0
ธงชัยวิทยา,73,49,0,183,232,415,15,15,5,9,1,0,0
ชัยเกษมวิทยา,126,126,0,263,206,469,19,22,12,8,2,0,0
บางสะพานน้อยวิทยาคม,45,45,0,196,289,485,20,15,10,4,1,0,0
กุยบุรีวิทยา,128,115,13,393,503,896,26,33,13,10,8,2,0
ยางชุมวิทยา,21,17,4,106,98,204,9,7,1,3,3,0,0
เมืองปราณบุรี,115,56,59,360,321,681,22,19,6,4,9,0,0
ปากน้ำปราณวิทยา,74,74,0,166,129,295,12,14,7,4,3,0,0
เตรียมอุดมศึกษาพัฒนาการปราณบุรี,200,165,35,633,849,1482,38,62,22,18,22,0,0
หัวหิน,317,312,5,1072,1310,2382,60,108,40,42,26,0,0
หัวหินวิทยาคม,30,30,0,326,274,600,22,14,6,5,3,0,0
หนองพลับวิทยา,51,51,0,213,224,437,15,15,7,4,4,0,0
สามร้อยยอดวิทยาคม,435,435,0,727,997,1724,45,72,31,24,17,0,0
สุราษฎร์ธานี,334,273,61,1165,1590,2755,72,104,27,45,32,0,0
สุราษฎร์พิทยา,432,432,0,1096,1772,2868,72,129,39,48,41,0,1
เมืองสุราษฎร์ธานี,349,298,5,1039,1341,2380,60,92,27,31,34,0,0
สุราษฎร์พิทยา๒,115,78,10,298,330,628,21,30,12,13,5,0,0
มัธยมพัชรกิติยาภา๓สุราษฎร์ธานี,113,103,10,241,300,541,24,34,7,15,12,0,0
สุราษฎร์ธานี๒,412,412,0,763,963,1726,45,72,15,37,20,0,0
กาญจนดิษฐ์,105,100,0,319,292,611,23,26,2,18,6,0,0
เตรียมอุดมศึกษาพัฒนาการสุราษฎร์ธานี,188,156,32,541,648,1189,33,40,18,17,5,0,0
ท่าอุแทพิทยา,58,28,27,196,211,407,15,16,6,10,0,0,0
ท่าเฟืองวิทยา,21,1,20,74,71,145,11,8,4,3,1,0,0
ปากแพรกวิทยาคม,66,49,17,111,174,285,12,13,5,7,1,0,0
เกาะสมุย,117,91,26,675,744,1419,42,43,28,12,3,0,0
ทีปราษฎร์พิทยา,158,157,0,932,984,1916,49,31,23,5,3,0,0
เกาะพะงันศึกษา,77,28,49,303,296,599,20,22,16,4,2,0,0
ท่าฉางวิทยาคาร,52,52,0,136,118,254,12,9,5,1,3,0,0
ไชยาวิทยา,302,258,12,661,954,1615,42,60,37,10,13,0,0
ท่าชนะ,182,130,45,594,634,1228,39,44,20,7,17,0,0
คีรีรัฐวิทยาคม,47,47,0,207,207,414,17,19,5,6,8,0,0
บ้านตาขุนวิทยา,95,54,36,415,590,1005,27,36,18,13,5,0,0
รัชชประภาวิทยาคม,30,24,6,79,97,176,11,8,2,4,2,0,0
เสวียดวิทยารัชมังคลาภิเษก,49,49,0,90,61,151,12,14,7,3,4,0,0
เขาพนมแบกศึกษา,36,27,9,45,39,84,9,8,6,1,1,0,0
มัธยมบ้านทำเนียบ,0,75,28,243,248,491,16,17,9,6,2,0,0
กาญจนาภิเษกวิทยาลัยสุราษฎร์ธานี,126,126,0,473,732,1205,37,54,29,15,10,0,0
พนมศึกษา,44,39,0,358,435,793,24,32,16,14,2,0,0
พุนพินพิทยาคม,293,273,20,830,1197,2027,53,87,29,29,29,0,0
น้ำรอบวิทยา,28,26,2,57,45,102,6,8,5,2,1,0,0
ท่าสะท้อนวิทยา,15,19,7,71,90,161,10,5,4,1,0,0,0
บางเดือนสถิตย์พิทยาคม,37,16,11,57,66,123,12,11,7,4,0,0,0
ตะกุกใต้ศึกษา,33,25,8,122,134,256,12,14,6,5,3,0,0
มัธยมวิภาวดี,55,50,0,187,193,380,12,11,7,3,1,0,0
บ้านเสด็จพิทยาคม,42,42,0,83,91,174,11,5,3,2,0,0,0
บ้านนาสาร,162,162,0,691,874,1565,42,60,14,26,20,0,0
บ้านนาวิทยาคม,101,86,15,266,241,507,18,23,1,13,9,0,0
เคียนซาพิทยาคม,88,35,45,641,780,1421,38,55,27,22,6,0,0
เวียงสระ,241,241,0,921,1309,2230,54,85,41,20,24,0,0
พระแสงวิทยา,305,273,25,654,1040,1694,43,59,29,14,16,0,0
พรุพีพิทยาคม,56,56,0,267,233,500,18,29,9,16,4,0,0
พ่วงพรมครวิทยา,44,42,2,83,100,183,11,7,3,3,1,0,0
คลองฉนวนวิทยา,53,30,23,89,98,187,12,14,10,4,0,0,0
บางสวรรค์วิทยาคม,127,127,0,579,751,1330,38,57,26,24,7,0,0
ควนสุบรรณวิทยา,52,40,12,67,68,135,6,7,2,3,2,0,0
ท่าชีวิทยาคม,42,42,0,70,73,143,6,13,0,6,7,0,0
ชัยบุรีพิทยา,90,63,30,516,555,1071,30,31,14,16,1,0,0
ศรียาภัย,300,200,6,1357,1981,3338,84,99,30,52,17,0,0
สอาดเผดิมวิทยา,312,299,13,903,1661,2564,66,119,61,38,19,1,0
ปากน้ำชุมพรวิทยา,37,17,20,99,109,208,9,15,10,3,2,0,0
ทุ่งคาพิทยาคาร,47,30,17,74,68,142,9,9,4,1,4,0,0
ศรียาภัย๒,59,27,10,50,47,97,9,12,2,4,6,0,0
ท่าแซะรัชดาภิเษก,350,152,198,494,654,1148,30,39,14,14,11,0,0
ท่าข้ามวิทยา,40,38,0,159,182,341,14,18,4,7,7,0,0
หงษ์เจริญวิทยาคม,22,20,2,95,100,195,12,15,5,8,2,0,0
ปะทิววิทยา,49,49,0,278,293,571,17,24,6,12,6,0,0
มาบอำมฤตวิทยา,82,50,32,331,362,693,19,31,21,6,4,0,0
สวนศรีวิทยา,477,459,18,1065,1549,2614,73,84,55,25,4,0,0
ปากน้ำหลังสวนวิทยา,45,34,11,131,109,240,13,9,1,7,1,0,0
ชลธารวิทยา,29,20,5,44,33,77,6,2,1,0,1,0,0
เมืองหลังสวน,93,93,0,385,412,797,28,27,5,15,6,1,0
ละแมวิทยา,203,182,21,537,671,1208,36,48,20,20,8,0,0
พะโต๊ะวิทยา,57,57,0,231,280,511,15,24,15,8,1,0,0
สวีวิทยา,292,228,64,835,1144,1979,58,87,39,29,19,0,0
นาสักวิทยา,20,20,0,37,41,78,9,5,3,1,1,0,0
ด่านสวีวิทยา,22,9,13,79,67,146,9,9,3,1,5,0,0
เขาทะลุพิทยาคม,57,19,38,157,166,323,15,19,14,4,1,0,0
ครนพิทยาคม,41,22,27,132,94,226,11,10,0,10,0,0,0
ทุ่งตะโกวิทยา,112,73,5,487,444,931,27,34,20,11,3,0,0
เบญจมราชูทิศ,687,620,67,1299,1522,2821,81,124,11,62,51,0,0
กัลยาณีศรีธรรมราช,470,325,56,1035,2049,3084,76,138,37,76,25,0,0
ปากพูน,65,50,0,101,114,215,12,14,2,5,7,0,0
เมืองนครศรีธรรมราช,892,892,70,647,809,1456,45,69,4,30,35,0,0
โยธินบำรุง,254,244,10,1032,958,1990,57,88,13,27,48,0,0
ตรีนิมิตรวิทยา,27,23,4,82,62,144,9,5,1,2,2,0,0
ท่านครญาณวโรภาสอุทิศ,135,70,65,217,279,496,20,35,0,7,28,0,0
วิทยาศาสตร์จุฬาภรณราชวิทยาลัยนครศรีธรรมราช,298,244,54,316,402,718,30,58,17,20,21,0,0
สวนกุหลาบวิทยาลัยนครศรีธรรมราช,48,48,0,413,571,984,30,43,13,16,14,0,0
ขุนทะเลวิทยาคม,66,53,3,163,60,223,18,15,4,7,4,0,0
เฉลิมราชประชาอุทิศ,31,31,0,122,125,247,13,24,5,9,10,0,0
เตรียมอุดมศึกษาภาคใต้,,,,122,125,247,13,24,5,9,10,0,0
พระพรหมพิทยานุสรณ์,25,10,15,125,168,293,14,20,1,8,11,0,0
ทางพูนวิทยาคาร,26,26,0,259,294,553,18,23,4,8,11,0,0
เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์นครศรีธรรมราช,123,88,35,441,635,1076,34,60,10,32,18,0,0
ฉวางรัชดาภิเษก,174,144,30,672,980,1652,43,73,18,24,31,0,0
ละอายพิทยานุสรณ์,45,33,12,112,128,240,13,12,1,7,4,0,0
พิปูนสังฆรักษ์ประชาอุทิศ,126,126,0,247,290,537,20,23,3,10,10,0,0
นางเอื้อยวิทยา,9,7,2,47,51,98,8,8,5,2,1,0,0
ทุ่งสง,240,204,36,1019,1658,2677,70,98,27,44,27,0,0
สตรีทุ่งสง,209,209,0,744,1354,2098,56,75,18,27,30,0,0
ทุ่งสงวิทยา,65,54,11,499,572,1071,30,47,9,13,25,0,0
ทุ่งสงสหประชาสรรค์,33,23,10,117,91,208,9,10,1,3,6,0,0
ก้างปลาวิทยาคม,29,29,2,361,420,781,20,34,7,17,10,0,0
นาบอน,102,184,0,369,522,891,27,46,5,19,22,0,0
ทุ่งใหญ่วิทยาคม,92,78,15,458,762,1220,34,57,17,32,8,0,0
กรุงหยันวิทยาคาร,56,40,16,202,208,410,14,14,6,3,5,0,0
ทุ่งใหญ่เฉลิมราชอนุสรณ์รัชมังคลาภิเษก,78,66,11,321,415,736,18,29,6,14,9,0,0
เสม็ดจวนวิทยาคม,85,64,21,168,213,381,12,18,10,7,1,0,0
ทุ่งสังพิทยาคม,16,14,2,62,50,112,6,7,5,1,1,0,0
บางขันวิทยา,138,138,0,490,701,1191,34,50,15,20,15,0,0
วังหินวิทยาคม,34,34,2,93,68,161,9,10,6,3,1,0,0
ประสาธน์ราษฎร์บำรุง,26,24,2,78,66,144,9,10,2,5,3,0,0
ช้างกลางประชานุกูล,,,,78,66,144,9,10,2,5,3,0,0
เชียรใหญ่,274,255,19,494,682,1176,42,49,8,14,27,0,0
วิเชียรประชาสรรค์,28,18,13,39,46,85,6,11,1,2,8,0,0
เชียรใหญ่สามัคคีวิทยา,40,33,7,68,59,127,6,11,4,5,2,0,0
ธัญญาวดีศึกษา,15,15,0,32,22,54,3,7,1,3,3,0,0
ชะอวด,10,200,60,641,781,1422,45,68,7,37,24,0,0
ชะอวดวิทยาคาร,,,,641,781,1422,45,68,7,37,24,0,0
เกาะขันธ์ประชาภิบาล,49,28,21,58,28,86,6,7,0,2,5,0,0
ขอนหาดประชาสรรค์,24,24,0,77,71,148,10,10,3,4,3,0,0
ชะอวดเคร่งธรรมวิทยา,47,24,23,77,106,183,12,9,3,5,1,0,0
ปากพนัง,295,199,12,795,1293,2088,57,103,34,24,45,0,0
โศภนคณาภรณ์,35,25,10,78,46,124,9,11,4,3,4,0,0
อินทร์ธานีวิทยาคม,17,15,2,45,33,78,6,6,4,1,1,0,0
สตรีปากพนัง,137,108,28,500,534,1034,33,45,3,9,33,0,0
ร่อนพิบูลย์เกียรติวสุนธราภิวัฒก์,161,161,0,616,782,1398,40,59,6,26,27,0,0
คีรีราษฎร์พัฒนา,84,20,36,129,144,273,12,14,3,6,5,0,0
ควนเกยสุทธิวิทยา,22,22,0,85,60,145,9,11,2,6,3,0,0
เสาธงวิทยา,31,27,4,149,165,314,12,24,0,10,14,0,0
ตระพังพิทยาคม,18,19,1,105,102,207,12,7,1,4,2,0,0
หัวไทรบำรุงราษฎร์,150,140,10,636,814,1450,48,56,12,14,30,0,0
แหลมราษฎร์บำรุง,54,27,27,126,131,257,9,18,4,9,5,0,0
นพคุณประชาสรรค์,80,24,56,81,82,163,11,12,5,5,2,0,0
ทรายขาววิทยา,101,69,32,127,140,267,12,16,8,6,2,0,0
เขาพังไกร,51,51,0,84,89,173,10,10,2,5,3,0,0
มัธยมศึกษาจุฬาภรณ์,88,88,0,170,184,354,18,27,2,8,17,0,0
พรหมคีรีพิทยาคม,210,210,0,504,724,1228,39,50,8,15,27,0,0
บ้านเกาะวิทยา,48,35,13,54,54,108,6,13,1,2,10,0,0
ท่าศาลาประสิทธิ์ศึกษา,14,14,0,859,1260,2119,57,103,15,53,35,0,0
โมคลานประชาสรรค์,38,23,15,102,136,238,12,12,0,2,10,0,0
สระแก้วรัตนวิทย์,49,41,8,219,174,393,17,22,5,9,8,0,0
สิชลคุณาธารวิทยา,246,244,0,586,866,1452,42,66,8,31,27,0,0
ฉลองรัฐราษฎร์อุทิศ,47,45,2,191,180,371,15,21,5,15,1,0,0
สิชลประชาสรรค์,70,66,4,386,474,860,27,46,8,12,26,0,0
เทพราชพิทยาสรรค์,16,16,0,38,28,66,6,7,1,0,6,0,0
ขนอมพิทยา,55,39,16,370,447,817,25,30,15,6,9,0,0
ท้องเนียนคณาภิบาล,24,18,6,56,55,111,6,7,1,3,3,0,0
คงคาประชารักษ์,,,,56,55,111,6,7,1,3,3,0,0
นบพิตำวิทยา,57,47,0,245,252,497,20,28,3,7,18,0,0
พัทลุง,390,390,0,1254,1813,3067,78,131,26,24,81,0,0
พัทลุงพิทยาคม,217,217,0,475,533,1008,34,58,11,24,23,0,0
พรหมพินิตชัยบุรี,26,22,4,94,41,135,9,9,0,4,5,0,0
ประภัสสรรังสิต,104,85,19,233,236,469,20,35,0,7,28,0,0
วชิรธรรมสถิต,35,28,7,97,64,161,9,12,0,1,11,0,0
สตรีพัทลุง,260,160,55,816,1857,2673,72,126,32,24,70,0,0
กงหราพิชากร,51,43,8,227,285,512,16,21,3,4,14,0,0
ชะรัดชนูปถัมภ์,42,30,12,81,83,164,9,12,4,5,3,0,0
หานโพธิ์พิทยาคม,26,26,0,75,69,144,12,15,0,11,4,0,0
ประชาบำรุง,41,34,7,109,151,260,11,14,1,4,9,0,0
ตะโหมด,180,180,40,682,1020,1702,47,84,12,36,36,0,0
ควนขนุน,80,68,14,469,550,1019,30,39,4,4,31,0,0
พนางตุง,22,22,0,88,138,226,12,18,3,6,9,0,0
ดอนศาลานำวิทยา,31,28,3,73,70,143,7,10,1,0,9,0,0
ปัญญาวุธ,36,25,11,93,52,145,11,17,0,5,12,0,0
ควนพระสาครินทร์,,,,93,52,145,11,17,0,5,12,0,0
ปากพะยูนพิทยาคาร,43,40,3,265,298,563,22,33,3,13,17,0,0
หารเทารังสีประชาสรรค์,89,78,10,470,628,1098,34,49,6,11,32,0,0
ศรีบรรพตพิทยาคม,22,19,3,140,145,285,12,14,1,4,9,0,0
ตะแพนพิทยา,15,9,6,46,31,77,6,11,2,7,2,0,0
ป่าบอนพิทยาคม,65,37,28,84,107,191,12,17,0,3,14,0,0
บางแก้วพิทยาคม,95,60,34,262,297,559,19,30,5,9,16,0,0
ป่าพะยอมพิทยาคม,156,85,71,370,478,848,29,47,6,12,28,1,0
นิคมควนขนุนวิทยา,36,34,2,150,169,319,13,13,3,3,7,0,0
เขาชัยสน,121,108,13,353,450,803,25,35,11,13,11,0,0
นาขยาดวิทยาคาร,18,17,7,49,31,80,6,10,1,3,6,0,0
อุดมวิทยายน,46,23,23,112,111,223,12,13,4,3,6,0,0
ลันตาราชประชาอุทิศ,48,29,18,147,212,359,13,6,4,2,0,0,0
คลองยางประชานุสรณ์,50,42,29,228,299,527,18,14,4,10,0,0,0
คลองท่อมราษฎร์รังสรรค์,282,278,4,782,1052,1834,50,64,32,26,6,0,0
คลองพนสฤษดิ์พิทยา,82,79,3,235,316,551,21,24,6,12,6,0,0
พนมเบญจา,167,167,0,789,909,1698,49,75,40,31,4,0,0
อ่าวลึกประชาสรรค์,160,110,50,910,1251,2161,52,88,48,21,19,0,0
อำมาตย์พานิชนุกูล,482,452,30,1193,1717,2910,72,124,46,56,20,1,1
เมืองกระบี่,190,190,160,942,1051,1993,54,82,29,33,20,0,0
สินปุนคุณวิชญ์,112,80,32,195,186,381,12,14,9,3,2,0,0
คลองหินพิทยาคม,24,16,8,101,179,280,10,13,6,4,3,0,0
หนองทะเลวิทยา,52,46,6,178,256,434,14,25,6,15,4,0,0
เขาดินประชานุกูล,22,22,0,85,65,150,6,6,5,1,0,0,0
กาญจนาภิเษกวิทยาลัยกระบี่,153,118,35,543,717,1260,40,40,22,16,2,0,0
ปลายพระยาวิทยาคม,105,105,0,491,516,1007,33,35,15,12,8,0,0
ลำทับประชานุเคราะห์,80,60,20,380,431,811,24,29,12,13,4,0,0
เหนือคลองประชาบำรุง,188,150,43,800,1016,1816,52,64,27,24,13,0,0
วิเชียรมาตุ,651,651,25,1160,1680,2840,71,130,41,58,31,0,0
สภาราชินีจังหวัดตรัง,424,384,0,1077,1778,2855,74,126,33,46,46,0,1
น้ำผุด,60,42,18,160,157,317,14,14,6,8,0,0,0
วิทยาศาสตร์จุฬาภรณราชวิทยาลัยตรัง,320,318,0,330,391,721,30,56,13,20,23,0,0
สภาราชินี2,240,240,0,525,606,1131,39,53,20,25,8,0,0
วิเชียรมาตุ3,63,29,34,145,105,250,16,13,5,8,0,0,0
ย่านตาขาวรัฐชนูปถัมภ์,332,332,0,922,1168,2090,60,81,26,39,16,0,0
ทุ่งหนองแห้งประชาสรรค์,35,35,0,184,210,394,14,22,2,14,6,0,0
วิเชียรมาตุ2,27,17,7,78,92,170,12,15,4,7,4,0,0
ตรังรังสฤษฎ์,47,19,28,121,137,258,15,20,6,11,3,0,0
ปะเหลียนผดุงศิษย์,64,60,1,293,364,657,21,35,8,20,7,0,0
คันธพิทยาคาร,97,92,0,241,185,426,22,25,7,8,10,0,0
ทุ่งยาวผดุงศิษย์,76,76,0,318,363,681,21,23,12,9,2,0,0
สวัสดิ์รัตนาภิมุข,181,140,41,415,538,953,27,40,14,19,7,0,0
นาโยงวิทยาคม,55,44,11,93,127,220,12,14,6,8,0,0,0
หาดสำราญวิทยาคม,90,80,10,218,290,508,21,20,11,5,4,0,0
กันตังพิทยากร,325,290,40,640,699,1339,54,65,21,20,23,0,1
กันตังรัษฎาศึกษา,117,117,0,195,211,406,18,23,6,15,2,0,0
สิเกาประชาผดุงวิทย์,157,151,6,408,511,919,27,44,20,20,4,0,0
ห้วยยอด,322,314,0,894,1424,2318,61,106,39,43,24,0,0
สามัคคีศึกษา,103,75,28,255,275,530,17,24,10,10,4,0,0
ห้วยนางราษฎร์บำรุง,45,45,0,176,215,391,14,17,4,12,1,0,0
ลำภูราเรืองวิทย์,73,73,0,117,165,282,11,16,3,8,5,0,0
ในเตาพิทยาคม,31,31,0,65,81,146,7,10,3,7,0,0,0
บางดีวิทยาคม,64,64,0,236,204,440,17,15,8,6,1,0,0
วังวิเศษ,146,115,31,488,515,1003,30,42,12,27,3,0,0
รัษฎานุประดิษฐ์อนุสรณ์,82,62,20,381,473,854,27,37,10,22,5,0,0
รัษฎา,149,124,25,516,681,1197,36,51,16,21,14,0,0
เกาะยาววิทยา,41,34,7,132,137,269,12,13,7,6,0,0,0
กะปงพิทยาคม,39,28,11,91,139,230,12,17,8,6,3,0,0
ตะกั่วทุ่งงานทวีวิทยาคม,69,63,6,63,60,123,6,8,7,1,0,0,0
คลองเคียนรัฐราษฎร์รังสรรค์,35,31,4,53,62,115,6,6,5,1,0,0,0
ทุ่งโพธิ์วิทยา,245,160,85,316,355,671,24,24,14,7,3,0,0
ดีบุกพังงาวิทยายน,298,292,37,796,1075,1871,57,81,32,26,23,0,0
ตะกั่วป่า(เสนานุกูล),152,146,0,820,1145,1965,51,68,34,27,7,0,0
สตรีพังงา,129,114,15,333,505,838,31,36,15,11,10,0,0
ตะกั่วป่าคีรีเขต,43,26,17,61,54,115,6,10,7,3,0,0,0
คุระบุรีชัยพัฒนาพิทยาคม,65,52,13,393,451,844,27,32,14,15,3,0,0
ทับปุดวิทยา,120,110,10,356,465,821,30,36,9,21,6,0,0
ท้ายเหมืองวิทยา,162,119,43,458,509,967,36,38,12,15,11,0,0
ทุ่งมะพร้าววิทยา,62,62,0,117,137,254,12,14,5,8,1,0,0
ภูเก็ตวิทยาลัย,488,488,0,1617,1304,2921,80,127,63,34,30,0,0
สตรีภูเก็ต,494,487,7,323,2471,2794,81,103,51,32,19,1,0
เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ภูเก็ตในพระราชูปถัมภ์สมเด็จพระเทพรัตนราชสุดาฯสยามบรมราชกุมารี,424,424,0,1092,1175,2267,68,79,36,36,7,0,0
กะทู้วิทยา,106,96,10,476,540,1016,32,36,15,13,8,0,0
เมืองถลาง,213,165,10,777,1030,1807,56,67,34,23,10,0,0
เชิงทะเลวิทยาคม,89,37,52,242,215,457,18,20,14,1,5,0,0
วีรสตรีอนุสรณ์,38,28,10,90,80,170,9,11,8,3,0,0,0
พิชัยรัตนาคาร,226,195,31,936,1129,2065,63,75,44,25,6,0,0
สตรีระนอง,250,250,0,849,1069,1918,52,73,40,16,16,1,0
ละอุ่นวิทยาคาร,41,16,25,70,97,167,8,9,3,3,3,0,0
กะเปอร์วิทยา,110,83,27,324,368,692,21,19,8,10,1,0,0
กระบุรีวิทยา,104,104,20,507,692,1199,30,46,26,8,12,0,0
ปากจั่นวิทยา,66,45,16,95,89,184,12,7,0,3,4,0,0
สุขสำราญราษฎร์รังสรรค์,52,37,9,90,96,186,10,5,4,1,0,0,0
เบญจมราชูทิศจังหวัดปัตตานี,235,205,30,808,1238,2046,60,98,12,68,18,0,0
เดชะปัตตนยานุกูล,271,271,0,807,1311,2118,63,98,13,64,21,0,0
ท่าข้ามวิทยาคาร,123,89,34,140,222,362,14,22,5,15,2,0,0
วุฒิชัยวิทยา,10,14,30,68,57,125,9,8,3,5,0,0,0
สายบุรี(แจ้งประชาคาร),41,21,4,223,314,537,19,18,3,14,1,0,0
ไม้แก่นกิตติวิทย์,44,36,8,103,213,316,12,11,3,6,2,0,0
สุวรรณไพบูลย์,35,30,5,283,210,493,21,19,1,9,9,0,0
วังกะพ้อพิทยาคม,18,18,0,149,170,319,14,10,3,7,0,0,0
ราชมุนีรังสฤษฏ์,16,16,16,91,89,180,7,10,0,4,6,0,0
โพธิ์คีรีราชศึกษา,116,84,30,374,368,742,30,29,15,8,6,0,0
ปทุมคงคาอนุสรณ์,25,9,16,41,59,100,9,10,2,5,3,0,0
ยาบีบรรณวิทย์,50,28,22,72,126,198,12,5,3,2,0,0,0
ศิริราษฏร์สามัคคี,45,31,14,98,266,364,15,20,6,10,4,0,0
ทุ่งยางแดงพิทยาคม,25,3,22,251,202,453,18,15,8,7,0,0,0
ประตูโพธิ์วิทยา,49,44,5,67,122,189,9,8,2,6,0,0,0
สะนอพิทยาคม,38,15,23,132,190,322,13,15,1,13,1,0,0
แม่ลานวิทยา,50,41,9,75,97,172,12,11,4,5,2,0,0
คณะราษฎรบำรุงจังหวัดยะลา,188,188,0,934,1388,2322,72,96,25,50,21,0,0
รามันห์ศิริวิทย์,50,29,21,102,161,263,8,9,4,5,0,0,0
คณะราษฎรบำรุง๒,46,41,5,68,65,133,9,9,3,4,2,0,0
เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ยะลา,68,19,9,356,379,735,30,36,27,8,1,0,0
สตรียะลา,212,212,0,473,663,1136,48,53,7,36,10,0,0
เบตงวีระราษฎร์ประสาน,155,131,24,636,790,1426,41,54,10,34,9,1,0
จันทร์ประภัสสร์อนุสรณ์,28,10,18,120,121,241,9,6,4,2,0,0,0
บันนังสตาวิทยา,51,41,10,257,182,439,17,7,3,4,0,0,0
ธารโตวัฑฒนวิทย์,16,6,10,146,180,326,13,14,5,8,1,0,0
ยะหาศิรยานุกูล,48,31,17,156,211,367,16,8,4,3,1,0,0
กาบังพิทยาคม,0,17,3,137,208,345,12,13,7,6,0,0,0
นิคมพัฒนวิทย์,18,6,12,27,17,44,9,7,3,4,0,0,0
นราธิวาส,355,332,43,897,1257,2154,66,100,8,68,24,0,0
นราสิกขาลัย,374,296,28,426,658,1084,43,62,7,48,7,0,0
เฉลิมพระเกียรติกรมหลวงนราธิวาสราชนครินทร์บางปอ,36,34,2,127,207,334,12,17,0,16,1,0,0
บาเจาะ,60,50,10,135,268,403,20,12,3,8,1,0,0
ร่มเกล้า,111,93,12,491,523,1014,29,27,8,15,4,0,0
ตันหยงมัส,74,48,26,237,352,589,21,22,7,11,4,0,0
รือเสาะชนูปถัมภ์,46,22,13,427,350,777,26,22,8,14,0,0,0
เรียงราษฏร์อุปถัมภ์,29,29,0,174,237,411,13,16,8,6,2,0,0
ศรีวารินทร์,75,65,10,163,230,393,13,14,4,6,4,0,0
ตากใบ,78,59,19,201,267,468,23,27,4,12,11,0,0
เวียงสุวรรณวิทยาคม,77,58,19,399,520,919,35,42,14,25,3,0,0
สุคิรินวิทยา,63,22,39,229,244,473,18,15,8,5,2,0,0
สุไหงโกลก,156,151,20,623,888,1511,52,74,15,50,9,0,0
ธัญธารวิทยา,24,24,9,108,84,192,17,11,1,9,1,0,0
มัธยมสุไหงปาดี,58,57,1,349,266,615,23,25,9,5,11,0,0
สวนพระยาวิทยา,85,78,5,492,671,1163,38,22,6,14,2,0,0
บูกิตประชาอุปถัมภ์,100,58,42,134,192,326,12,8,3,4,1,0,0
มหาวชิราวุธจังหวัดสงขลาในพระอุปถัมภ์ฯ,856,836,20,1665,2072,3737,94,187,60,98,29,0,0
สทิงพระวิทยา,64,64,52,406,477,883,31,42,4,25,11,2,0
สทิงพระชนูปถัมภ์,47,39,8,107,100,207,12,12,2,8,2,0,0
วรนารีเฉลิมจังหวัดสงขลา,398,325,73,1136,2397,3533,90,135,28,64,43,0,0
นวมินทราชูทิศทักษิณ,225,225,0,945,1189,2134,70,104,18,55,31,0,0
ตะเครียะวิทยาคม,53,32,21,54,49,103,8,7,2,5,0,0,0
ระโนด,105,100,5,315,398,713,23,29,9,9,11,0,0
สามบ่อวิทยา,54,43,6,71,70,141,8,14,2,6,6,0,0
คลองแดนวิทยา,43,25,18,100,84,184,9,11,5,6,0,0,0
ระโนดวิทยา,95,54,41,556,695,1251,41,52,11,28,13,0,0
กระแสสินธุ์วิทยา,81,61,20,127,148,275,12,19,4,13,2,0,0
