จบจากโรงเรียน,No_computer,working,not_working,no_boy,no_girl,total_student,no_classroom,total_teacher,total_teacher_rank1,total_teacher_rank2,total_teacher_rank3,total_teacher_rank4,total_teacher_rank5
พระโขนงพิทยาลัย,137,52,0,873,820,1693,55,65,34,21,10,0,0
วชิรธรรมสาธิต,490,490,0,1393,1603,2996,75,90,58,23,8,1,0
นนทรีวิทยา,,,,1393,1603,2996,75,90,58,23,8,1,0
เจ้าพระยาวิทยาคม,124,94,30,169,118,287,13,13,1,5,7,0,0
สุรศักดิ์มนตรี,356,263,93,1520,1347,2867,75,110,54,26,30,0,0
กุนนทีรุทธารามวิทยาคม,205,205,0,322,358,680,25,19,12,6,1,0,0
วัดสุทธิวราราม,570,570,0,2876,0,2876,72,127,78,22,27,0,0
ยานนาเวศวิทยาคม,,,,2876,0,2876,72,127,78,22,27,0,0
สตรีศรีสุริโยทัย,417,417,0,0,1810,1810,52,67,45,15,7,0,0
ปทุมคงคา,177,171,6,1441,0,1441,59,61,41,12,8,0,0
สายน้ำผึ้งในพระอุปถัมภ์ฯ,563,84,479,0,2468,2468,72,116,80,30,6,0,0
มัธยมวัดธาตุทอง,252,250,2,697,768,1465,43,43,33,5,5,0,0
สิริรัตนาธร,,,,697,768,1465,43,43,33,5,5,0,0
รัตนโกสินทร์สมโภชบางเขน,205,157,48,1099,1228,2327,59,59,30,11,18,0,0
บางกะปิ,258,193,19,1379,1693,3072,78,77,43,25,9,0,0
สตรีเศรษฐบุตรบำเพ็ญ,624,624,0,0,2281,2281,57,94,72,13,9,0,0
มัธยมวัดหนองจอก,313,313,0,1196,1420,2616,69,85,37,28,20,0,0
เทพลีลา,376,376,0,1005,1075,2080,51,89,59,18,12,0,0
เศรษฐบุตรบำเพ็ญ,,,,1005,1075,2080,51,89,59,18,12,0,0
บดินทรเดชา (สิงห์ สิงหเสนี) ๔,410,220,50,825,940,1765,58,75,50,18,7,0,0
มัธยมวัดบึงทองหลาง,210,168,42,889,843,1732,56,66,48,11,7,0,0
พรตพิทยพยัต,364,308,0,1297,1515,2812,72,106,68,25,13,0,0
เทพศิรินทร์ร่มเกล้า,379,347,22,1462,1783,3245,78,115,63,34,18,0,0
รัตนโกสินทร์สมโภชลาดกระบัง,193,183,10,1159,1118,2277,66,84,59,19,6,0,0
จันทร์หุ่นบำเพ็ญ,175,130,45,378,359,737,38,34,21,4,9,0,0
เตรียมอุดมศึกษาพัฒนาการรัชดา,264,264,0,1071,1551,2622,64,95,81,7,7,0,0
นวมินทราชูทิศกรุงเทพมหานคร,442,442,0,1262,1380,2642,67,83,32,27,24,0,0
บดินทรเดชา (สิงห์ สิงหเสนี) ๒,224,224,0,1731,2074,3805,90,149,79,40,29,0,1
สุขุมนวพันธ์อุปถัมภ์,300,250,50,617,481,1098,38,49,30,5,14,0,0
หอวัง,528,528,0,1673,2193,3866,93,160,76,49,34,1,0
สารวิทยา,341,341,0,1213,1681,2894,73,121,82,23,16,0,0
ราชดำริ,204,204,0,1026,1069,2095,60,59,29,13,17,0,0
เตรียมอุดมศึกษาพัฒนาการ,341,323,18,1841,2396,4237,102,172,98,56,18,0,0
ดอนเมืองทหารอากาศบำรุง,400,380,20,1261,1433,2694,75,121,60,43,18,0,0
สีกัน(วัฒนานันท์อุปถัมภ์),224,42,1,851,1037,1888,54,80,47,23,10,0,0
ดอนเมืองจาตุรจินดา,,,,851,1037,1888,54,80,47,23,10,0,0
ลาดปลาเค้าพิทยาคม,250,220,30,784,792,1576,52,63,43,9,11,0,0
สตรีวิทยา ๒,1213,598,615,1873,2503,4376,106,126,45,50,31,0,0
ราชวินิตบางเขน,305,292,13,948,771,1719,49,62,28,24,10,0,0
ฤทธิยะวรรณาลัย,275,444,0,1816,2177,3993,98,150,84,34,32,0,0
ฤทธิยะวรรณาลัย๒,260,260,0,1188,1311,2499,60,96,56,28,12,0,0
ศรีพฤฒา,450,370,80,829,827,1656,72,69,32,18,18,0,1
เตรียมอุดมศึกษาน้อมเกล้า,,,,829,827,1656,72,69,32,18,18,0,1
นวมินทราชินูทิศ เตรียมอุดมศึกษาน้อมเกล้า,,,,829,827,1656,72,69,32,18,18,0,1
บดินทรเดชา (สิงห์ สิงหเสนี),405,405,0,1856,2216,4072,98,168,80,71,16,1,0
นวมินทราชินูทิศบดินทรเดชา,270,261,9,1141,1214,2355,62,81,26,28,27,0,0
นวมินทราชินูทิศเบญจมราชาลัย,382,332,50,1233,1335,2568,66,91,44,31,16,0,0
นวมินทราชินูทิศสตรีวิทยา๒,495,485,10,1176,1495,2671,65,87,44,28,15,0,0
เตรียมอุดมศึกษาสุวินทวงศ์,178,168,10,778,704,1482,45,50,46,4,0,0,0
เตรียมอุดมศึกษาพัฒนาการสุวรรณภูมิ,108,108,0,874,1029,1903,55,40,32,7,1,0,0
วัดเขมาภิรตาราม,500,500,10,1994,1185,3179,92,117,70,24,23,0,0
ศรีบุณยานนท์,349,320,20,1152,1051,2203,62,66,18,29,19,0,0
สตรีนนทบุรี,343,334,9,0,2795,2795,79,86,41,23,22,0,0
เตรียมอุดมศึกษาพัฒนาการนนทบุรี,405,330,65,1395,1863,3258,76,128,55,33,40,0,0
เบญจมราชานุสรณ์,530,530,0,1207,1237,2444,66,91,36,24,30,1,0
นนทบุรีพิทยาคม,181,181,0,273,191,464,17,21,8,4,9,0,0
รัตนาธิเบศร์,,,,273,191,464,17,21,8,4,9,0,0
บดินทรเดชา(สิงห์สิงหเสนี)นนทบุรี,140,140,0,381,338,719,32,31,16,8,7,0,0
เทพศิรินทร์นนทบุรี,344,278,66,1444,1569,3013,72,128,47,47,34,0,0
ไทรน้อย,211,211,0,1049,1072,2121,53,68,33,13,22,0,0
ปากเกร็ด,531,531,0,1467,1772,3239,80,88,30,34,24,0,0
ราษฎร์นิยม,125,125,0,308,249,557,15,19,5,9,5,0,0
สวนกุหลาบวิทยาลัยนนทบุรี,670,670,0,1782,1933,3715,93,134,65,36,33,0,0
เตรียมอุดมศึกษาน้อมเกล้านนทบุรี,116,118,0,585,499,1084,31,43,22,13,8,0,0
โพธินิมิตวิทยาคม,224,192,72,676,419,1095,36,37,14,12,11,0,0
นวมินทราชินูทิศหอวังนนทบุรี,490,490,0,1373,1767,3140,76,117,36,47,34,0,0
ราชวินิตนนทบุรี,136,132,4,796,717,1513,39,26,8,13,5,0,0
บางบัวทอง,405,405,0,996,1143,2139,63,94,22,41,31,0,0
อยุธยาวิทยาลัย,,,,996,1143,2139,63,94,22,41,31,0,0
จอมสุรางค์อุปถัมภ์,632,632,0,0,3172,3172,78,120,47,34,39,0,0
อยุธยานุสรณ์,316,306,10,1138,1117,2255,56,90,48,17,25,0,0
ปากกรานพิทยา,36,36,0,65,70,135,6,8,4,2,2,0,0
ท่าเรือ,251,251,0,779,812,1591,48,58,24,16,18,0,0
ท่าหลวงวิทยานุกูล,59,59,0,110,83,193,9,10,2,3,5,0,0
นครหลวงอุดมรัชต์วิทยา,100,90,10,325,307,632,18,22,13,6,3,0,0
ท่าช้างวิทยาคม,108,108,0,196,178,374,15,21,11,5,5,0,0
บางปะหัน,113,113,0,470,511,981,28,39,22,9,8,0,0
ภาชี,206,180,18,655,752,1407,39,49,15,23,11,0,0
วิเชียรกลิ่นสุคนธ์อุปถัมภ์,140,90,50,405,356,761,23,29,7,15,7,0,0
วังน้อย(พนมยงค์วิทยา),86,53,33,280,362,642,20,26,20,6,0,0,0
อุทัย,100,100,0,424,423,847,24,26,3,9,14,0,0
หนองน้ำส้มวิทยาคม,62,42,20,133,57,190,9,8,6,0,2,0,0
มหาราช,8,5,0,74,45,119,9,8,3,2,3,0,0
บ้านแพรกประชาสรรค์,,,,74,45,119,9,8,3,2,3,0,0
บางไทรวิทยา,143,138,5,261,260,521,15,19,3,7,9,0,0
บางบาล,77,65,11,154,156,310,12,9,2,2,5,0,0
บางปะอิน(ราชานุเคราะห์๑),200,200,0,974,1105,2079,53,70,33,12,25,0,0
บางปะอิน,71,68,3,301,183,484,16,16,9,5,2,0,0
อุดมศีลวิทยา,41,40,9,124,85,209,9,12,3,3,6,0,0
ผักไห่(สุทธาประมุข),105,105,0,311,328,639,21,24,8,2,14,0,0
ลาดชะโดสามัคคี,27,23,4,72,74,146,6,7,1,2,4,0,0
วัดโพธิ์ผักไห่(เวชพันธุ์อนุสรณ์),65,55,10,166,111,277,13,10,1,1,8,0,0
ลาดบัวหลวงไพโรจน์วิทยา,92,91,1,303,414,717,24,25,14,5,6,0,0
เสนา(เสนาประสิทธิ์),325,324,0,919,1276,2195,58,59,18,13,28,0,0
สาคลีวิทยา,70,60,10,85,77,162,9,10,0,1,9,0,0
ลาดงาประชาบำรุง,16,16,0,33,32,65,6,7,1,5,1,0,0
บางซ้ายวิทยา,130,120,10,242,302,544,18,20,1,1,18,0,0
ปทุมวิไล,368,330,0,1837,1397,3234,84,114,50,40,24,0,0
คณะราษฎร์บำรุงปทุมธานี,313,290,23,432,2102,2534,68,91,45,26,20,0,0
ปทุมธานีนันทมุนีบำรุง,154,150,4,524,419,943,31,34,17,15,2,0,0
หอวังปทุมธานี,230,223,7,1380,1249,2629,79,67,55,9,3,0,0
ทีปังกรวิทยาพัฒน์(มัธยมวัดหัตถสารเกษตร)ในพระราชูปถัมภ์ฯ,163,163,0,1068,1191,2259,67,83,54,18,11,0,0
สวนกุหลาบวิทยาลัยรังสิต,350,350,0,1641,1920,3561,89,150,72,38,39,1,0
ธรรมศาสตร์คลองหลวงวิทยาคม,120,120,0,1879,2837,4716,117,142,89,29,23,1,0
บัวแก้วเกษร,145,145,0,465,414,879,27,28,15,8,5,0,0
วรราชาทินัดดามาตุวิทยา,215,209,7,1023,1119,2142,56,63,41,17,5,0,0
สุนทโรเมตตาประชาสรรค์,41,34,6,67,55,122,6,8,4,1,3,0,0
วิทยาศาสตร์จุฬาภรณราชวิทยาลัยปทุมธานี,115,115,0,380,340,720,30,47,16,24,7,0,0
ชัยสิทธาวาสพัฒน์สายบำรุง,64,63,1,117,140,257,15,12,7,1,4,0,0
เตรียมอุดมศึกษาน้อมเกล้าปทุมธานี,176,161,15,579,606,1185,36,35,23,4,8,0,0
เฉลิมพระเกียรติ60พรรษา,9,9,0,109,156,265,6,12,12,0,0,0,0
ธัญรัตน์,450,450,0,1455,1992,3447,85,101,44,31,26,0,0
สายปัญญารังสิต,505,505,0,982,1170,2152,54,94,62,21,11,0,0
ธัญบุรี,546,546,0,1199,1578,2777,72,111,45,39,27,0,0
